id,category,question,answer
1,Fundamental Principles,"Sustainable Development: According to the Brundtland Report, how is sustainable development defined?",It is development that fulfills current needs without compromising the ability of future generations to meet their own needs.
2,Health Hazards & Risk Assessment,Risk Assessment: What are the four primary steps involved in quantitative risk assessment?,"Data Collection/Evaluation, Toxicity Assessment, Exposure Assessment, and Risk Characterization."
3,Water & Wastewater,Water Treatment: What is the primary purpose of the coagulation process in water treatment?,"It alters the surface charge of particles, causing them to stick together and form larger, settleable flocs to remove turbidity and color."
4,Air Quality & Control,"Air Pollution: List the six ""criteria pollutants"" established by the U.S. EPA under the National Ambient Air Quality Standards (NAAQS).","Carbon monoxide, lead, nitrogen dioxide, ozone, particulate matter (PM₁₀ and PM₂.₅), and sulfur dioxide."
5,Groundwater/Soils/Sediments,Hydrology: What characterizes an unconfined aquifer compared to a confined aquifer?,"An unconfined aquifer has a water table open to the atmosphere, while a confined aquifer is trapped between impermeable layers and is under pressure."
6,Solid & Hazardous Waste,Solid Waste: What is leachate in the context of a landfill?,"It is liquid that has percolated through solid waste, extracting dissolved or suspended materials."
7,Environmental Chemistry,Biology: What is the difference between autotrophs and heterotrophs regarding their carbon source?,"Autotrophs use inorganic carbon (such as CO₂), whereas heterotrophs must consume organic carbon for growth."
8,Thermodynamics,Thermodynamics: Briefly state the First Law of Thermodynamics.,"Energy cannot be created or destroyed, only transformed from one form to another."
9,Fundamental Principles,Ecosystems: Define bioaccumulation.,It is the process where chemical concentration increases in an organism over time because uptake exceeds breakdown or excretion.
10,Solid & Hazardous Waste,"Hazardous Waste: What does the ""cradle-to-grave"" concept refer to in hazardous waste management?","It is the regulation of hazardous waste from its point of generation, through transportation and treatment, to its final disposal."
11,Environmental Chemistry,Chemistry: What is the definition of molarity in the context of solution concentration?,The number of moles of solute per liter of solution.
12,Environmental Chemistry,Chemistry: How does Henry's Law describe gas solubility in liquids?,"At equilibrium, the partial pressure of a chemical in the gas phase is linearly proportional to its concentration in the liquid phase."
13,Environmental Chemistry,"Chemistry: Define the ""common ion effect"" in solubility equilibrium.",The solubility of a salt is reduced when it is dissolved in a solution that already contains one of its constituent ions.
14,Environmental Chemistry,Biology: What is the primary role of the mitochondria within a eukaryotic cell?,The site of cellular respiration where energy is generated.
15,Environmental Chemistry,Biology: What is the difference between aerobic and anaerobic respiration regarding oxygen?,"Aerobic respiration requires oxygen as the terminal electron acceptor, while anaerobic respiration occurs without oxygen."
16,Environmental Chemistry,Biology: What is the function of enzymes in biochemical reactions?,They act as organic catalysts that speed up the rate of biochemical reactions.
17,Fundamental Principles,Mass Balance: What is the general equation for a mass balance in a system?,Accumulation rate = Input rate − Output rate + Reaction rate.
18,Fundamental Principles,"Mass Balance: What defines a ""steady state"" condition in a system?",A condition where there is no accumulation within the control volume (input equals output).
